name;manufacturer;address_manufacturer;num_order;date_resolution;organization;address_organization;type;class;manufacture_place;trial_organization;trial_address;status
Камера лазерная мультиформатная DRYVIEW 5950 Laser Imaging System с принадлежностями;'Кэарстрим Хэлс, Инк.';, США, Дальнее зарубежье, Carestream Health, Inc., 150 Verona Street, Rochester, New York, 14608, USA, США;371/2014;17.04.2014;ООО 'Кэарстрим Хэлс';123007, Россия, г. Москва, ул. 4-я Магистральная, д. 11;234270;2а;"1. Carestream Health, Inc., 1049 West Ridge Road, Rochester, New York, 14615, USA. 
2. Rayco (Shanghai) Medical Products Company Limited, Building 7, 1510 Chuanqiao Road, Jinqiao Export Processing Zone, Pudong New Area, 201206 Shanghai, P.R. China.";;; 
Лента диаграммная бумажная с тепловой записью в рулонах и пачках 'МАСТЕР ЛЕНТ' для медицинских регистрирующих приборов по ТУ 9398-001-10611905-2014;ООО 'МАСТЕР ЛЕНТ';394018, Россия, г. Воронеж, ул. Кирова, д. 10, кв. 76, Россия;404/2015;24.04.2015;ООО 'МАСТЕР ЛЕНТ';394018, Россия, г. Воронеж, ул. Кирова, д. 10, кв. 76;291550;1;394026, Воронежская обл., г. Воронеж, ул. Электросигнальная, д. 1;;;2015-05-20 Завершено
Набор реагентов для иммуноферментного выявления иммуноглобулинов класса G к антигенам описторхисов в сыворотке (плазме) крови (Описторх-IgG-ИФА-БЕСТ) по ТУ 9398-396-23548172-2012;ЗАО 'Вектор-Бест';630559, Россия, Новосибирская область, Новосибирский район, Кольцово, р.п. Кольцово, АБК, Россия;52/2013;28.06.2013;ЗАО 'Вектор-Бест';630559, Россия, Новосибирская область, Новосибирский район, Кольцово, р.п. Кольцово, АБК;336310;2б;"630559, Новосибирская область, п. Кольцово, промзона, корпус 36 
630128, г. Новосибирск, ул. Пасечная, д. 3";;; 
Электрокардиограф модели: SE-12 Express, SE-1200 Express, SE-1201 с принадлежностями;'Эдан Инструментс, Инк.';, Китай, Edan Instruments, Inc., 3/F-B, Nanshan Medical Equipments Park, Nanhai Rd. 1019#, Shekou, Nanshan District, 518067 Shenzhen, China, Китай;403/2015;24.04.2015;ООО 'Элмас';141190, Россия, Московская область, г. Фрязино, Заводской проезд, д.4;210160;2б;"1. Edan Instruments, Inc., 3/F-B, Nanshan Medical Equipments Park, Nanhai Rd. 1019#, Shekou, Nanshan District, 518067 Shenzhen, China.
2. Edan Instruments, Inc., 2/F and 5/F, block A/B, Unit 8, Xing Hua Building, Nanhai Rd., Nanshan, (6th Industrial Road, Shekou), 518067 Shenzhen, China.
3. Edan Instruments, Inc., A301-310, Nanshan Medical Equipments Park, Nanhai Rd. 1019#, Shekou, Nanshan, 518067 Shenzhen, China";;;2015-08-28 Завершено
Набор реагентов, калибраторы и контроли для  определения  in vitro антител IgM к капсидному антигену вируса Эпштейна-Барра на иммунохимических анализаторах ARCHITECT i;'Эбботт Лэбораториз';, США, Дальнее зарубежье, Abbott Laboratories, 100/200 Abbott Park Road, Abbott Park, Illinois 60064, USA, США;372/2014;17.04.2014;ООО 'Эбботт Лэбораториз';125171, Россия, г. Москва, Ленинградское шоссе, д. 16 А, стр. 1;321320;2б;ABBOTT GmbH & Co. KG, Max-Planck-Ring 2, 65205 Wiesbaden, Germany;;; 
Набор реагентов для иммуноферментного выявления иммуноглобулинов класса G к грибам рода Candida в сыворотке (плазме) крови (Кандида-IgG-ИФА-БЕСТ) по ТУ 9398-392-23548172-2012;ЗАО 'Вектор-Бест';630559, Россия, Новосибирская область, Новосибирский район, Кольцово, АБК, Россия;53/2013;28.06.2013;ЗАО 'Вектор-Бест';630559, Россия, Новосибирская область, Новосибирский район, Кольцово, АБК;197190;2б;"630559, Новосибирская область, Новосибирский район, п. Кольцово, Промзона, корпус 36 
630128, г. Новосибирск, ул. Пасечная, д. 3";;; 
Катетер дилятационный POWERFLEX PRO;'Кордис Корпорейшн';, США, Cordis Corporation, 14201 North West 60th Avenue, Miami Lakes, Florida 33014, USA, США;402/2015;24.04.2015;ООО 'Джонсон & Джонсон';121614, Россия, Москва, ул. Крылатская, д. 17, корп. 2;254570;3;"1. Cordis Corporation, 14201 North West 60th Avenue, Miami Lakes, Florida 33014, USA.
2. Cordis de Mexico, S.A. de C.V., Calle Circuito Interior Norte # 1820, Parque Industrial Salvarcar, Ciudad Juarez, Chihuahua, CP 32575, Mexico.";;;2015-09-29 Завершено
Набор реагентов для иммуноферментного выявления иммуноглобулинов класса G к антигенам эхинококка однокамерного в сыворотке (плазме) крови (Эхинококк-IgG-ИФА-БЕСТ) по ТУ № 9398-393-23548172-2012;ЗАО 'Вектор-Бест';630559, Россия, Новосибирская область, Новосибирский район, Кольцово, р.п. Кольцово, АБК, Россия;54/2013;28.06.2013;ЗАО 'Вектор-Бест';630559, Россия, Новосибирская область, Новосибирский район, Кольцово, АБК;231100;2б;"630559, Новосибирская область, Новосибирский район, п. Кольцово, Промзона, корпус 36
630128, г. Новосибирск, ул. Пасечная, д. 3";;; 
Набор реагентов, калибраторы и контроли для  определения  in vitro антител IgG к капсидному антигену вируса Эпштейна-Барра на иммунохимических анализаторах ARCHITECT i;'Эбботт Лэбораториз';, США, Дальнее зарубежье, Abbott Laboratories, 100/200 Abbott Park Road, Abbott Park, Illinois 60064, USA, США;373/2014;17.04.2014;ООО 'Эбботт Лэбораториз';125171, Россия, г. Москва, Ленинградское шоссе, д. 16 А, стр. 1;321310;2б;ABBOTT GmbH & Co. KG, Max-Planck-Ring 2, 65205 Wiesbaden, Germany;;; 
Набор реагентов для иммуноферментного выявления иммуноглобулинов класса G к антигенам трихинелл в сыворотке (плазме) крови (Трихинелла-IgG-ИФА-БЕСТ) по ТУ 9398-394-23548172-2012;ЗАО 'Вектор-Бест';630559, Россия, Новосибирская область, Новосибирский район, Кольцово, р.п. Кольцово, АБК, Россия;55/2013;28.06.2013;ЗАО 'Вектор-Бест';630559, Россия, Новосибирская область, Новосибирский район, Кольцово, р.п. Кольцово, АБК;104690;2б;"630559, Новосибирская область, п. Кольцово, промзона, корпус 36
630128, г. Новосибирск, ул. Пасечная, д. 3";;; 
Бумага (лента) регистрирующая для ЭКГ, ЭЭГ, анализаторов, фетальных мониторов, видеопринтеров и других медицинских регистрирующих приборов по ТУ 9398-001-15214497-2014;ООО 'БалтПапир';191180, Россия, г. Санкт-Петербург, наб. Реки Фонтанки, д. 80/2, лит. А, пом. 1Н, Россия;401/2015;24.04.2015;ООО 'БалтПапир';191180, Россия, г. Санкт-Петербург, наб. Реки Фонтанки, д. 80/2, лит. А, пом. 1Н;291550;1;196084, Санкт-Петербург, ул. Кондратенко, д. 3, лит. Б, этаж 1-ый;;;2015-07-15 Завершено
Набор реагентов для иммуноферментного выявления иммуноглобулинов класса М к вирусу краснухи в сыворотке (плазме) крови (ВектоРубелла-IgM) по ТУ 9398-401-23548172-2012;ЗАО 'Вектор-Бест';630559, Россия, Новосибирская область, Кольцово, АБК, Россия;56/2013;28.06.2013;ЗАО 'Вектор-Бест';630559, Россия, Новосибирская область, Кольцово, АБК;213660;2б;"630559, Новосибирская область, Новосибирский район, п. Кольцово, Промзона, корпус 36 
630128, г. Новосибирск, ул. Пасечная, д. 3";;; 
Инструменты медицинские многоповерхностного воздействия (зажимные) с принадлежностями;'Тонтарра Медицинтехник ГмбХ';, Германия, Дальнее зарубежье, TONTARRA Medizintechnik GmbH, Daimlerstra&#223,e 15 78573 Wurmlingen, Germany, Германия;374/2014;17.04.2014;ООО 'МедИмпорт';129110, Россия, г. Москва, Проспект Мира, д.68, стр.1А;245760,102790,296580,128090,254560,296720,249380,270090,181910,111590,147540,139580,276310,270060,262170,103630,209300,104290,104620,181440,147570,264760;2а;Daimlerstra&#223,e 15 78573 Wurmlingen, Germany;;; 
Микроскоп сканирующий эндотелиальный СЕМ-530 с принадлежностями;'Нидек Ко., Лтд.';, Япония, Дальнее зарубежье, Nidek Co., Ltd., 34-14 Maehama, Hiroishi-cho, Gamagori Aichi 443-0038, Japan, Япония;375/2014;17.04.2014;ООО 'МД ВИЖН';117312, Россия, г. Москва, ул. Губкина, д. 14, часть цокольного этажа;230860;2а;34-14 Maehama, Hiroishi-cho, Gamagori Aichi 443-0038, Japan;;; 
ЛOP - установка серии Medicenter, с принадлежностями;'Данчке МЕДИЦИНТЕХНИК ГмбХ энд Ко. КГ';, Германия, Дальнее зарубежье, dantschke MEDIZINTECHNIK GmbH & Co. KG, Apelsteinallee 3, 04416 Markkleeberg, Germany, Германия;400/2015;24.04.2015;ООО 'ТЕХНОМЕДИМПОРТ';107023, Россия, г. Москва, ул. Электрозаводская, д. 52, строение 5;136640;2а;Apelsteinallee 3, 04416 Markkleeberg, Germany;;;2015-08-07 Завершено
Укладка санитарной сумки «ФЭСТ» по ТУ 9398-146-10973749-2013;ООО 'Предприятие 'ФЭСТ';156025, Россия, г. Кострома, Рабочий проспект, д. 8, Россия;376/2014;17.04.2014;ООО 'Предприятие 'ФЭСТ';156025, Россия, г. Кострома, Рабочий проспект, д. 8;279940;2а;156019, г. Кострома, ул. Щербины Петра, д. 23;;; 
Система ультразвуковая диагностическая медицинская HS50-RUS/HS60-RUS с принадлежностями;'САМСУНГ МЕДИСОН КО., ЛТД.';, Корея, SAMSUNG MEDISON CO., LTD., 42, Teheran-ro 108-gil, Gangnam-gu, Seoul, Republic of Korea, Корея;303/2018;26.04.2018;ЗАО  'МЕДИЭЙС';127422, Россия, Москва, ул. Тимирязевская, д. 1, стр. 3;260250;2а;"1. SAMSUNG MEDISON CO., LTD., 42, Teheran-ro 108-gil, Gangnam-gu, Seoul 06176, Republic of Korea.
2. SAMSUNG MEDISON CO., LTD., 3366, Hanseo-ro, Nam-myeon, Hongcheon-gun, Gangwon-do 25108, Republic of Korea.";;;2018-05-21 Завершено
Стул врача-стоматолога серии КаVo, варианты исполнения:  PHYSIO Evo, PHYSIO One;'Кальтенбах и Фойгт ГмбХ';, Германия, Дальнее зарубежье, Kaltenbach & Voigt GmbH, Bismarckring 39, D-88400 Biberach, Germany, Германия;355/2014;17.04.2014;ООО 'КаВо Дентал Руссланд';198005, Россия, г. Санкт-Петербург, наб. реки Фонтанки, д.130, корп.А;232140;1;"1. Kaltenbach & Voigt GmbH, Bismarckring, 39 D-88400 Biberach, Germany. 
2. KaVo Dental GmbH, Bismarckring, 39 D-88400 Biberach, Germany. 
3. Shc Technology Co., Ltd., No. 8, Industrial North 2-nd Rd, Nankang Industrial Zone, Nantou City 540, Taiwan R.O.C.";;; 
Комплекты индивидуальной медицинской гражданской защиты для оказания первичной медико-санитарной помощи и первой помощи  (Комплекты КИМГЗ) по ТУ 9398-023-85535470-2014;ЗАО 'Виталфарм';187322, Россия, Ленинградская область, Кировский район, пос. Синявино, пгт Синявино, ул. Садовая, д. 2, Россия;410/2015;24.04.2015;ЗАО 'Виталфарм';187322, Россия, Ленинградская область, Кировский район, пос. Синявино, пгт Синявино, ул. Садовая, д. 2;279970;3;187322, Ленинградская область, Кировский район, пгт. Синявино, ул. Садовая, д. 2;;; 
Валик медицинский ватный «ФЭСТ», пропитанный раствором бриллиантового зеленого 1%, в герметичном футляре Михайлова, по ТУ 9393-104-10973749-2013;ООО 'Предприятие 'ФЭСТ';156025, Россия, г. Кострома, Рабочий проспект, д. 8, Россия;353/2014;17.04.2014;ООО 'Предприятие 'ФЭСТ';156025, Россия, г. Кострома, Рабочий проспект, д. 8;212160;2б;156019, г. Кострома, ул. Щербины Петра, д. 23;;; 
Ортезы;'Спорластик ГмбХ';, Германия, Дальнее зарубежье, Sporlastic GmbH, Weberstrasse 1, 72622 N&#252,rtingen, Germany, Германия;352/2014;17.04.2014;ООО 'КРИПТОМЕД';127051, Россия, г. Москва, ул. Трубная, д. 35, стр. 1;;1;Weberstrasse 1, 72622 N&#252,rtingen, Germany;;; 
Набор реагентов для диагностики in vitro АмплиСенс® ИммуноЧип ООИ-1 по ТУ 21.20.23-346-01897593-2017;ФБУН ЦНИИ Эпидемиологии Роспотребнадзора;111123, Россия, Москва, ул. Новогиреевская, д. 3А, Россия;302/2018;26.04.2018;ФБУН ЦНИИ Эпидемиологии Роспотребнадзора;111123, Россия, Москва, ул. Новогиреевская, д. 3А;349920;3;"1. ФБУН ЦНИИ Эпидемиологии Роспотребнадзора, Россия, 111123, Россия, Москва, ул. Новогиреевская, д. 3А.
2. ФБУН ЦНИИ Эпидемиологии Роспотребнадзора, Россия, 111123, Россия, Москва, ул. Новогиреевская, д. 3А, стр. 6.";;;2019-08-02 Завершено
Катетеры для температурной абляции с принадлежностями;'Бостон Сайентифик Корпорейшн';, США, Boston Scientific Corporation, 300 Boston Scientific Way, Marlborough, МА 01752, USA, США;304/2018;26.04.2018;ООО 'РК';119334, Россия, Москва, 5-й Донской пр-д, д. 15, этаж 4, пом. IV, комн. 12;178160;3;Boston Scientific Corporation, 302 Parkway, Global Park, Heredia, Costa Rica;;;2018-05-28 Завершено
Устройство для выбивания образцов крови «Panthera-Puncher 9» с принадлежностями;'Валлак Ой';, Финляндия, Дальнее зарубежье, Wallac Oy, Mustionkatu 6, FI-20750 Turku, Finland, Финляндия;347/2014;17.04.2014;ЗАО 'Приборы';115304, Россия, г. Москва, ул. Кантемировская, д. 3, корп. 3;218660;2а;Mustionkatu 6, FI-20750 Turku, Finland;;; 
Тампоны медицинские (тупферы) нестерильные по ТУ 9393-017-44881728-2016;ООО 'Емельянъ Савостинъ. Ватная фабрика';391022, Россия, Рязанская область, Клепиковский район, с. Екшур, , Россия;307/2018;26.04.2018;ООО 'Емельянъ Савостинъ. Ватная фабрика';391022, Россия, Рязанская область, Клепиковский район, с. Екшур, ;345160;2а;ООО 'Емельянъ Савостинъ', Россия, 391022, Рязанская область, Клепиковский район, д. Ершовские Выселки;;;2018-06-25 Завершено
Набор реагентов для экстракции ДНК из биологического материала 'МагноПрайм ФАСТ' по ТУ 21.20.23-023-09286667-2017;ООО 'НекстБио';111394, Россия, г. Москва, ул. Полимерная, д. 8, стр. 2, Россия;306/2018;26.04.2018;ООО 'НекстБио';111394, Россия, г. Москва, ул. Полимерная, д. 8, стр. 2;152850;2а;ООО 'НекстБио', Россия, 111394, Москва, ул. Полимерная, д. 8, стр. 2;;;2018-10-31 Завершено
Авторефрактокератометр VISUREF 100 с принадлежностями;'Карл Цейсс Медитек АГ';, Германия, Дальнее зарубежье, Carl Zeiss Meditec AG, Goeschwitzer Str. 51-52, 07745 Jena, Germany, Германия;354/2014;17.04.2014;ООО 'ОПТЭК';105005, Россия, г. Москва, Денисовский переулок, д. 26;172230;2а;UNICOS.,Co.Ltd, Unicos B/D, 49, Gwarye-Ro 22 Beon-Gil, Jung-Gu, Daejeon, Korea;;; 
Кассета с реагентами для анализа мочи CLINITEK Novus (CLINITEK Novus Urinalysis Cassette);'Сименс Хелскеа Диагностикс Инк.';, США, Siemens Healthcare Diagnostics Inc., 511 Benedict Avenue, Tarrytown, New York 10591, USA, США;305/2018;26.04.2018;ООО 'Сименс Здравоохранение';115093, г. Москва, ул. Дубининская, д. 96;330930;2а;Siemens Healthcare Diagnostics Inc., 3400 Middlebury Street, Elkhart, Indiana 46516, USA;;;2018-08-23 Завершено
Набор реагентов, калибраторы и контроли для  определения  in vitro антител IgG к ядерному антигену вируса Эпштейна-Барра на иммунохимических анализаторах ARCHITECT i;'Эбботт Лэбораториз';, США, Дальнее зарубежье, Abbott Laboratories, 100/200 Abbott Park Road, Abbott Park, Illinois 60064, USA, США;351/2014;17.04.2014;ООО 'Эбботт Лэбораториз';125171, Россия, г. Москва, Ленинградское шоссе, д. 16 А, стр. 1;321330;2б;ABBOT GmbH & Co. KG, Max-Planck-Ring 2, 65205 Wiesbaden, Germany;;; 
Томограф рентгеновский  компьютерный   серии  «OPTIMA CT540» по ТУ 9442-005-11338860-2013;ЗАО 'МЕДИЦИНСКИЕ ТЕХНОЛОГИИ Лтд';109052, Россия, г. Москва, ул. Нижегородская, д. 70, корп. 2, Россия;349/2014;17.04.2014;ООО 'ДжиИ Хэлскеа';123317, Россия, г. Москва, Пресненская набережная, д. 10;135190;2б;111024,  Москва, ул. 2-я Кабельная, д. 2, стр. 4;;; 
Стерилизаторы паровые горизонтальные JSM, с принадлежностями;'ПРОХС-Экипаменто Хоспиталар е Сервисос Ассосиадос, С.А.';, Португалия, PROHS-Equipamento Hospitalar e Servi&#231,os Associados, S.A., Rua do Castanhal, 316,Zona Industrial da Maia I Sector II, apartado 6019, EC Outeiro ,4476-908, Maia, Portugal, Португалия;1348/2014;17.04.2014;ООО 'МК ВИТА-ПУЛ';125212, Россия, г. Москва, ул. Выборгская, д.16,  стр. 1;125810,3308;2а;Rua do Castanhal, 316,Zona Industrial da Maia I Sector II, apartado 6019,  EC Outeiro ,4476-908, Maia, Portugal;;; 
Лампа полимеризационная серии DTE , модель LUX V;Гуилин Вудпекер Медикал Инструмент Ко., Лтд.;, Китай, Дальнее зарубежье, «Guilin Woodpecker Medical  Instrument Co., Ltd.» address: Information Industrial Park, National High-Tech Zone, Guilin, Guangxi 541004, China, Китай;356/2014;17.04.2014;ООО МайДент24;125040, Россия, 125040, г. Москва, 5-я ул. Ямского поля, д. 7, корп. 2;121250;2а;Information Industrial Park, National High-Tech Zone, Guilin, Guangxi 541004, China;;; 
Имплантат интрадермальный APRILINE Normal с устройством для введения;'СУИССЕЛЬ, С.А.';, Швейцария, SUISSELLE, S.A., Rue Galilee 6, 1400 Yverdon-les-Bains, Switzerland, Швейцария;317/2018;27.04.2018;ООО 'ГЛОРЕКАФАРМ';115093, Россия, Москва, ул. Павловская, д. 7, этаж 1, пом. II, комн. 115;122090;3;SUISSELLE, S.A., Rue Galilee 6, 1400 Yverdon-les-Bains, Switzerland;;;2018-10-31 Завершено
Иглы одноразовые НовоФайн® Плюс 32G 4 мм;'Ново Нордиск А/С';, Дания, Novo Nordisk A/S, Novo Alle, 2880 Bagsvaerd, Denmark, Дания;318/2018;27.04.2018;ООО 'Ново Нордиск';121614, Россия, г. Москва, ул. Крылатская, д. 15, офис 41;309510;2а;Novo Nordisk A/S, Stenager Alle, 9800 Hjoerring, Denmark;;;2018-11-15 Завершено
Анализатор для автоматизации иммуногематологического тестирования образцов крови человека, варианты исполнения: ORTHO VISION, ORTHO VISION MAX;'Орто-Клиникал Диагностикс';, Великобритания, Дальнее зарубежье, Ortho-Clinical Diagnostics, Felindre Meadows, Pencoed, Bridgend, CF35 5PZ, United Kingdom, Великобритания;319/2018;27.04.2018;ООО 'Орто-Клиникал Диагностикс';143026, Россия, Московская область, Одинцовский район, д. Сколково, ул. Новая, д. 100, лит. А,а;144760;3;"1. Тесаn Schweiz AG, Emil Staub Str. 1, 8708 M&#228,nnedorf, Switzerland. 
2. Ortho-Ciinical Diagnostics, Inc., 100 Indigo Creek Drive, Rochester, New York, 14626, USA. 
3. Techni Soudure E. Perez SA, 18 rue du Tramway, 67114 Eschau, France.
4. Elo Touch Solutions, Inc., 2245 Brighton Henrietta Town Line Road, Rochester, New York, 14623, USA.
5. Elo Touch Solutions (Suzhou) Co., Ltd., No. 337, Lushan Road, High-New District, Suzhou City, Jiangsu Province, P.R. China.
6. Volex Cable Assembly (Shenzhen) Co., Ltd., 1173, Shenhui Road, Bao'an, Henggang, Longgang District, Shenzhen, 518115, China.
7. Honeywell International Inc., A Delaware Corporation, 830 East Arapaho Road Richardson, Texas 75081, USA";;;2018-11-09 Завершено
Набор для дренирования плевральной полости по ТВНЛ.942414.024 ТУ;ООО 'МИМ';625026, Россия, г. Тюмень, ул. Холодильная, д. 85, стр. 1, Россия;310/2018;27.04.2018;ООО 'МИМ';625026, Россия, г. Тюмень, ул. Холодильная, д. 85, стр. 1;259410;2а;ООО 'МИМ', 625026, Россия, г. Тюмень, ул. Холодильная, д. 85, стр. 1;;;2018-06-25 Завершено
Набор для калибровки CLINITEK Novus (CLINITEK Novus Calibration Kit (CAL 1-4 Kit));'Сименс Хелскеа Диагностикс Инк.';, США, Siemens Healthcare Diagnostics Inc., 511 Benedict Avenue, Tarrytown, New York 10591, USA, США;314/2018;27.04.2018;ООО 'Сименс Здравоохранение';115093, Россия, Москва, ул. Дубининская, д. 96;349400;2а;Fisher Diagnostics, A division of Fisher Scientific Company, LLC, A part of Thermo Fisher Scientific, Inc., 8365 Valley Pike, Middletown, Virginia 22645, USA;;;2018-08-23 Завершено
Прибор офтальмологический IOL Master 700 с принадлежностями;'Карл Цейсс Медитек АГ';, Германия, Дальнее зарубежье, Carl Zeiss Meditec AG, Goeschwitzer Str. 51-52, 07745 Jena, Germany, Германия;416/2015;27.04.2015;ООО 'ОПТЭК';105005, Россия, г. Москва, Денисовский переулок, д. 26;136900;2а;Goeschwitzer Str. 51-52, 07745 Jena, Germany;;;2015-06-10 Завершено
Диагностикум для выявления антител классов М и G к Borrelia burgdorferi в реакции иммунофлюоресценции 'Боррелия-Флюороген - скрин' по ТУ 9398-178-70423725-2014;ЗАО 'ЭКОлаб';142530, Россия, Московская область, г. Электрогорск, ул. Буденного, д. 1, Россия;417/2015;27.04.2015;ЗАО 'ЭКОлаб';142530, Россия, Московская область, г. Электрогорск, ул. Буденного, д. 1;198710;2б;142530, Московская область, г. Электрогорск, ул. Буденного, д. 1-1А;;;2015-11-06 Завершено
Генератор AEX с принадлежностями;'Медтроник Адвансд Энерджи ЛЛС';, США, Medtronic Advanced Energy LLC, 180 International Drive, Portsmouth, NH 03801, USA, США;311/2018;27.04.2018;ООО 'Медтроник';123317, Россия, Москва, Пресненская наб., д. 10;260140;2б;"1. Medtronic Advanced Energy LLC, 180 International Drive, Portsmouth, NH 03801, USA.
2. Sanmina Corporation, 13000 South Memorial Parkway, Huntsville, AL 35803, USA";;;2018-06-15 Завершено
Агар Мюллера-Хинтона по ТУ 9385-001-11161893-2014, в вариантах исполнения: Агар Мюллера-Хинтона, Агар Мюллера-Хинтона с бараньей кровью.;ООО 'Средофф';199106, Россия, г. Санкт-Петербург, Шкиперский проток, д. 14, корпус 39, литер Н, Россия;418/2015;27.04.2015;ООО 'Средофф';199106, Россия, г. Санкт-Петербург, Шкиперский проток, д. 14, корпус 39, литер Н;211270,2112;2б;199106, Санкт-Петербург, Шкиперский проток, д. 14, корпус 39, литер Н;;;2015-05-26 Завершено
Система многофункциональная физиотерапевтическая для лечения дефектов кожи Ellipse Nordlys в составе;'Эллипс А/С';, Дания, Ellipse A/S, Agern Alle 11, DK-2970 H&#248,rsholm, Denmark, Дания;14370;27.04.2018;ООО 'НАО';117105, Россия, г. Москва, Варшавское шоссе, д. 25А, стр. 1, этаж 6, пом. I, ком. 30;186220;2б;Ellipse A/S, Agern Alle 11, DK-2970 H&#248,rsholm, Denmark;;;2018-09-17 Завершено
Система электро-химеотерапии SENNEX (модель РIE-SYS);'БИОНМЕД ТЕХНОЛОДЖИС ГмбХ';, Германия, Дальнее зарубежье, Science Park 2, Universit&#228,t des Saarlandes, D-66123 Saarbr&#252,cken, Германия;419/2015;27.04.2015;ООО 'Гамма Технолоджи';123098, Россия, г. Москва, ул. Академика Бочвара, д. 11;;2б;Science Park 2, Universit&#228,t des Saarlandes, D-66123 Saarbr&#252,cken, Germany;;;2015-07-15 Завершено
Консоль XPS Nexus с принадлежностями;'Медтроник Ксомед, Инк.';, США, Дальнее зарубежье, Medtronic Xomed, Inc., 6743 Southpoint Drive North, Jacksonville, FL 32216, USA, США;308/2018;27.04.2018;ООО 'Медтроник';123317, Россия, Москва, Пресненская наб., д. 10;256520;2а;"1. Medtronic Xomed, Inc., 6743 Southpoint Drive North, Jacksonville, FL 32216, USA. 
2. Jabil Circuit (Shanghai) Ltd., 600 Tian Lin Road, Shanghai, P.R. China";;;2018-07-10 Завершено
Фрезы HiCut для краниотомии различных типоразмеров;'адеор Медикал АГ';, Германия, аdeor Medical AG, Kirchplatz 1, D-82049 Pullach, Germany, Германия;420/2015;27.04.2015;ООО 'Рамедикс';125080, Россия, г. Москва, шоссе Волоколамское, д. 1 стр. 1, пом. IV, комн. 31;324810;2а;Kirchplatz 1, D-82049 Pullach, Germany;;;2015-05-20 Завершено
Имплантат дентальный матриксный для костной ткани SYMBIOS Xenograft Granules;'Коллаген Матрикс, Инк.';, США, Collagen Matrix, Inc., 15 Thornton Road, Oakland, New Jersey, 07436, USA, США;313/2018;27.04.2018;ООО 'Дентсплай Сирона';115432, Россия, Москва, пр-кт Андропова, д. 18, корп. 6, офисы 1 39 40;119030;3;Collagen Matrix, Inc., 15 Thornton Road, Oakland, New Jersey, 07436, USA;;;2018-07-10 Завершено
NADAL комботест на антиген рака мочевого пузыря/гемоглобин (тест-кассета);'нал вон минден ГмбХ';, Германия, Дальнее зарубежье, nal von minden GmbH, Carl-Zeiss-Str. 12, 47445 Moers, Germany, Германия;421/2015;27.04.2015;ЗАО 'СВМ-Инвест';125009, Россия, г. Москва, пер. Малый Гнездниковский, д. 12, оф. 11;146260;2б;Carl-Zeiss-Str. 12, 47445 Moers, Germany;;;2015-05-20 Завершено
Сепаратор крови автоматический CompoMat G5 с принадлежностями;'Фрезениус Каби АГ';, Германия, Дальнее зарубежье, Fresenius Kabi AG, Else-Kr&#246,ner-Stra&#223,e 1, D-61346 Bad Homburg, Germany, Германия;309/2018;27.04.2018;ООО 'Фрезениус Каби';125167, Россия, Москва, Ленинградский пр-кт, д. 37, корп. 9, этаж 3, пом. XXIV, комн. 15;328060;2б;"1. Fresenius Kabi AG, 61346 Bad Homburg, Germany.
2. Sanmina-SCI AB, Svedjev&#228,gen 12, SE-891 23 &#214,rnsk&#246,ldsvik, Sweden.";;;2018-05-21 Завершено
Скальпели одноразовые APEXMED;'Адитя Диспомед Продактс Пвт. Лтд.';, Индия, Aditya Dispomed Products Pvt. Ltd., Plot No. 19, Sector 6, I.M.T Manesar, Gurgaon Haryana - 122 050, India, Индия;315/2018;27.04.2018;ООО 'Апексмед Рус';107392, Россия, Москва, ул. Просторная, д. 7, стр. 3, офис 511;253780;2а;Aditya Dispomed Products Pvt. Ltd., Plot No. 19, Sector 6, I.M.T Manesar, Gurgaon Haryana - 122 050, India;;;2018-06-25 Завершено
Набор реагентов для определения специфических IgE антител к пищевым аллергенам (панель 3) (RIDA qLine Allergy Panel 3) для аллергодиагностики in vitro с принадлежностями;'Р-Биофарм АГ';, Германия, R-Biopharm AG, An der neuen Bergstra&#223,e 17, 64297 Darmstadt, Germany, Германия;415/2015;27.04.2015;ЗАО 'АНАЛИТИКА';129343, Россия, г. Москва, проезд Серебрякова, д. 2, корп. 1;;2а;An der neuen Bergstra&#223,e 17, 64297 Darmstadt, Germany;;;2015-12-07 Завершено
Прибор лазерный медицинский косметологический 'Мейджик' по ТУ 26.60.13-001-25560467-2017;ООО 'МеЛСиТек';606000, Россия, Нижегородская область, г. Дзержинск, Игумновское ш., д. 11Д, офис 9, Россия;316/2018;27.04.2018;ООО 'МеЛСиТек';606000, Россия, Нижегородская область, г. Дзержинск, Игумновское ш., д. 11Д, офис 9;130710,2627;2б;ООО 'МеЛСиТек', Россия, 606000, Нижегородская область, г. Дзержинск, Игумновское ш., д. 11Д;;;2018-09-20 Завершено
Система медицинская ультразвуковая диагностическая  X-Porte с принадлежностями;'ФУДЖИФИЛЬМ СоноСайт, Инк.';, США, Дальнее зарубежье, FUJIFILM SonoSite, Inc., 21919 30th Drive SE, Bothell, Washington 98021, USА, США;414/2015;27.04.2015;АО 'Компания 'Интермедсервис';111123, Россия, Москва, ул. Плеханова, д. 4;260250;2а;21919 30th Drive SE, Bothell, Washington 98021, USА;;;2015-12-18 Завершено
