"number";"type";"type_ch";"region";"fio";"order_date";"order_num";"date_to";"register_date";"date_order_stop";"num_order_stop"
"4564";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"анестезиологии и реаниматологии";"Забайкальский край";"Карташов Константин Евгеньевич";"26.08.2019";"П75-287/19";"25.08.2024";"26.08.2019";"";""
"4563";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"Организация здравоохранения и общественное здоровье";"Забайкальский край";"Загирова Марина Борисовна";"26.08.2019";"П75-286/19";"25.08.2024";"26.08.2019";"";""
"4562";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"терапии";"Забайкальский край";"Загирова Марина Борисовна";"26.08.2019";"П75-285/19";"25.08.2024";"26.08.2019";"";""
"4561";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"педиатрии";"Забайкальский край";"Гортунова Елена Васильевна";"26.08.2019";"П75-284/19";"25.08.2024";"26.08.2019";"";""
"4560";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"экспертизе временной нетрудоспособности";"Красноярский край";"Куликова Светлана Акимовна";"16.08.2019";"16-08/2/19";"15.08.2024";"22.08.2019";"";""
"4559";"Экспертиза при осуществлении государственного контроля за обращением медицинских изделий";"Анестезиологические и респираторные медицинские изделия,Вспомогательные и общебольничные медицинские изделия,Гастроэнтерологические медицинские изделия,Медицинские изделия для акушерства и гинекологии,Медицинские изделия для диагностики in vitro,Медицинские изделия для манипуляций/восстановления тканей/органов человек,Медицинские изделия для оториноларингологии,Медицинские изделия для пластической хирургии и косметологии,Ортопедические медицинские изделия,Офтальмологические медицинские изделия,Реабилитационные и адаптированные для инвалидов медицинские изделия,Сердечно-сосудистые медицинские изделия,Стоматологические медицинские изделия,Урологические медицинские изделия,Физиотерапевтические медицинские изделия,Хирургические инструменты/системы и сопутствующие медицинские изделия,Эндоскопические медицинские изделия,Неврологические медицинские изделия,Радиологические медицинские изделия";"Москва";"Герцик Юрий Генрихович";"15.08.2019";"1190/19";"14.08.2024";"19.08.2019";"";""
"4558";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"Ультразвуковая диагностика";"Костромская область";"Мальцевский Владимир Иванович";"13.08.2019";"94-ЛТ";"12.08.2024";"13.08.2019";"";""
"4557";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"судебно-медицинской экспертизе,экспертизе временной нетрудоспособности,Организация здравоохранения и общественное здоровье";"Москва";"Морозов Сергей Юрьевич";"13.08.2019";"1181/19";"12.08.2024";"13.08.2019";"";""
"4556";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"педиатрии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Курская область";"Цепелева Светлана Александровна";"12.08.2019";"П46-141/19";"11.08.2024";"12.08.2019";"";""
"4555";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"педиатрии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Курская область";"Трутнева Наталия Владимировна";"12.08.2019";"П46-141/19";"11.08.2024";"12.08.2019";"";""
"4554";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"педиатрии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Курская область";"Пикалова Ирина Михайловна";"12.08.2019";"П46-141/19";"11.08.2024";"12.08.2019";"";""
"4553";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"педиатрии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Курская область";"Носорева Инна Владимировна";"12.08.2019";"П46-141/19";"11.08.2024";"12.08.2019";"";""
"4552";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:,Экспертиза при осуществлении государственного контроля за обращением медицинских изделий";"хирургии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»),Хирургические инструменты/системы и сопутствующие медицинские изделия";"Курская область";"Локтионов Алексей Леонидович";"12.08.2019";"П46-141/19";"11.08.2024";"12.08.2019";"";""
"4551";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"педиатрии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Курская область";"Зоря Игорь Васильевич";"12.08.2019";"П46-141/19";"11.08.2024";"12.08.2019";"";""
"4550";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"педиатрии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Курская область";"Бородкина Светлана Тихоновна";"12.08.2019";"П46-141/19";"11.08.2024";"12.08.2019";"";""
"4549";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении государственного контроля за обращением медицинских изделий:,Экспертиза при осуществлении лицензионного контроля:,Экспертиза при осуществлении государственного контроля за обращением медицинских изделий";"акушерству и гинекологии,Медицинские изделия для акушерства и гинекологии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»),Соблюдение лицензионных требований при осуществлении деятельности по производству и техническому обслуживанию (за исключением случая, если техническое обслуживание осуществляется для обеспечения собственных нужд юридического лица или индивидуального предпринимателя) медицинской техники,Соблюдение лицензионных требований при осуществлении фармацевтической деятельности,Соблюдение лицензионных требований при осуществлении деятельности по обороту наркотических средств, психотропных веществ и их прекурсоров, культивированию наркосодержащих растений";"Свердловская область";"Мазуров Дмитрий Олегович";"08.08.2019";"П66-263/19";"07.08.2024";"12.08.2019";"";""
"4548";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении государственного контроля за обращением медицинских изделий:,Экспертиза при осуществлении федерального государственного надзора в сфере обращения лекарственных средств (в отношении лекарственных средств для медицинского применения):,Экспертиза при осуществлении лицензионного контроля:,Экспертиза при осуществлении государственного контроля за обращением медицинских изделий,Экспертиза при осуществлении федерального государственного надзора в сфере обращения лекарственных средств (в отношении лекарственных средств для медицинского применения)";"акушерству и гинекологии,Медицинские изделия для акушерства и гинекологии,Фармаконадзор,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»),Соблюдение лицензионных требований при осуществлении деятельности по производству и техническому обслуживанию (за исключением случая, если техническое обслуживание осуществляется для обеспечения собственных нужд юридического лица или индивидуального предпринимателя) медицинской техники,Соблюдение лицензионных требований при осуществлении фармацевтической деятельности,Соблюдение лицензионных требований при осуществлении деятельности по обороту наркотических средств, психотропных веществ и их прекурсоров, культивированию наркосодержащих растений";"Свердловская область";"Ремизов Руслан Петрович";"08.08.2019";"П66-264/19";"07.08.2024";"12.08.2019";"";""
"4547";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"педиатрии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Волгоградская область";"Кутыга Елена Юриевна";"07.08.2019";"№ 708";"06.08.2024";"07.08.2019";"00.00.0000";""
"4546";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"педиатрии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Волгоградская область";"Скуратова Вера Владимировна";"07.08.2019";"№ 709";"06.08.2024";"07.08.2019";"";""
"4545";"Экспертиза при осуществлении лицензионного контроля:,Экспертиза при осуществлении федерального государственного надзора в сфере обращения лекарственных средств (в отношении лекарственных средств для медицинского применения)";"Соблюдение лицензионных требований при осуществлении фармацевтической деятельности,Оценка соответствия осуществляемой деятельности субъектами обращения лекарственных средств требованиям, установленным к оптовой торговле, розничной торговле, хранению, реализации, перевозке, отпуску, применению лекарственных средств";"Волгоградская область";"Шурыгина Нина Ивановна";"26.06.2019";"544";"25.06.2024";"28.06.2019";"00.00.0000";""
"4544";"Экспертиза при осуществлении лицензионного контроля:,Экспертиза при осуществлении федерального государственного надзора в сфере обращения лекарственных средств (в отношении лекарственных средств для медицинского применения)";"Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»),Оценка соответствия осуществляемой деятельности субъектами обращения лекарственных средств требованиям, установленным к оптовой торговле, розничной торговле, хранению, реализации, перевозке, отпуску, применению лекарственных средств";"Волгоградская область";"Клетина Ольга Викторовна";"26.06.2019";"543";"25.06.2024";"28.06.2019";"00.00.0000";""
"4543";"Экспертиза при осуществлении лицензионного контроля:,Экспертиза при осуществлении федерального государственного надзора в сфере обращения лекарственных средств (в отношении лекарственных средств для медицинского применения)";"Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»),Оценка соответствия осуществляемой деятельности субъектами обращения лекарственных средств требованиям, установленным к оптовой торговле, розничной торговле, хранению, реализации, перевозке, отпуску, применению лекарственных средств";"Волгоградская область";"Аванесян Ануш Ашотовна";"26.06.2019";"542";"25.06.2024";"28.06.2019";"00.00.0000";""
"4542";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»),Управление сестринской деятельностью";"Волгоградская область";"Чаусова Вера Геннадьевна";"26.06.2019";"533";"25.06.2024";"28.06.2019";"00.00.0000";""
"4541";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»),Управление сестринской деятельностью";"Волгоградская область";"Рослякова Виктория Анатольевна";"26.06.2019";"532";"25.06.2024";"28.06.2019";"00.00.0000";""
"4540";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»),Управление сестринской деятельностью";"Волгоградская область";"Кувакина Наталья Сергеевна";"26.06.2019";"541";"25.06.2024";"28.06.2019";"00.00.0000";""
"4539";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"педиатрии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Волгоградская область";"Грошева Татьяна Валерьевна";"26.06.2019";"540";"25.06.2024";"28.06.2019";"00.00.0000";""
"4538";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"педиатрии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Волгоградская область";"Белорусова Любовь Вячеславовна";"26.06.2019";"539";"25.06.2024";"28.06.2019";"00.00.0000";""
"4537";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"педиатрии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Волгоградская область";"Шепель Роза Дависовна";"26.06.2019";"538";"25.06.2024";"28.06.2019";"00.00.0000";""
"4536";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"педиатрии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Волгоградская область";"Федорова Татьяна Ивановна";"26.06.2019";"537";"25.06.2024";"28.06.2019";"00.00.0000";""
"4535";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"педиатрии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Волгоградская область";"Ерохина Инна Анатольевна";"26.06.2019";"536";"25.06.2024";"28.06.2019";"00.00.0000";""
"4534";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"педиатрии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Волгоградская область";"Павлова Наталья Анатольевна";"26.06.2019";"535";"25.06.2024";"28.06.2019";"00.00.0000";""
"4533";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"педиатрии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Волгоградская область";"Коновалова Ирина Алексеевна";"26.06.2019";"534";"25.06.2024";"28.06.2019";"00.00.0000";""
"4532";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"офтальмологии";"Томская область";"Юрашкеев Тихон Евгеньевич";"02.08.2019";"П70-216/19";"01.08.2024";"05.08.2019";"";""
"4531";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"офтальмологии";"Томская область";"Кравченко Александр Викторович";"02.08.2019";"П70-216/19";"01.08.2024";"05.08.2019";"";""
"4530";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"урологии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Республика Татарстан";"Ситдыкова Марина Эдуардовна";"26.07.2019";"166";"25.07.2024";"30.07.2019";"";""
"4529";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»),Стоматология детская,Стоматология терапевтическая";"Орловская область";"Сидоренко Людмила Владимировна";"30.07.2019";"№130-АЭ/19";"29.07.2024";"30.07.2019";"";""
"4528";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"онкологии";"Алтайский край";"Скрябина Людмила Сергеевна";"29.07.2019";"П22-337/19";"28.07.2024";"29.07.2019";"";""
"4527";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»),Ультразвуковая диагностика";"Республика Татарстан";"Юсупов Камиль Фаузеевич";"19.07.2019";"161";"18.07.2024";"23.07.2019";"";""
"4526";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»),Ультразвуковая диагностика";"Республика Татарстан";"Хамзина Фарида Тимершиевна";"19.07.2019";"161";"18.07.2024";"23.07.2019";"";""
"4525";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"эндокринологии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Республика Татарстан";"Куршакова Людмила Николаевна";"19.07.2019";"161";"18.07.2024";"23.07.2019";"";""
"4524";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"кардиологии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Республика Татарстан";"Ацель Евгения Александровна";"19.07.2019";"161";"18.07.2024";"23.07.2019";"";""
"4523";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»),Функциональная диагностика";"Республика Татарстан";"Ахунова Светлана Юрьевна";"19.07.2019";"161";"18.07.2024";"23.07.2019";"";""
"4522";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»),Детская хирургия";"Республика Татарстан";"Байбиков Рашит Салихович";"19.07.2019";"161";"18.07.2024";"23.07.2019";"";""
"4521";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"акушерству и гинекологии";"Чеченская Республика";"Алсабекова Малика Иссаевна";"25.10.2018";"135";"24.10.2023";"12.07.2019";"";""
"4520";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"Организация здравоохранения и общественное здоровье";"Республика Башкортостан";"Алалыкин Александр Евгеньевич";"11.07.2019";"П03-334/19";"10.07.2024";"12.07.2019";"";""
"4519";"Экспертиза при осуществлении федерального государственного надзора в сфере обращения лекарственных средств (в отношении лекарственных средств для медицинского применения)";"Проверки по вопросам соответствия лекарственных средств, находящихся в гражданском обороте, установленным требованиям к их качеству";"Москва";"Нагиева Фирая Галиевна";"08.07.2019";"5050";"07.07.2024";"11.07.2019";"";""
